"Dias desde o início da epidemia","#BR: Rio de Janeiro"
"Dia 1",1
"Dia 2",2
"Dia 3",3
"Dia 4",15
"Dia 5",24
"Dia 6",25
"Dia 7",63
"Dia 8",66
"Dia 9",119
"Dia 10",186
"Dia 11",233
"Dia 12",305
"Dia 13",370
"Dia 14",421
"Dia 15",493
"Dia 16",558
"Dia 17",600
"Dia 18",657
"Dia 19",708
"Dia 20",832
"Dia 21",992
"Dia 22",1074
"Dia 23",1246
"Dia 24",1394
"Dia 25",1461
"Dia 26",1688
"Dia 27",1938
"Dia 28",2216
"Dia 29",2464
"Dia 30",2607
"Dia 31",2855
"Dia 32",3221
"Dia 33",3410
"Dia 34",3743
"Dia 35",3944
"Dia 36",4349
"Dia 37",4543
"Dia 38",4675
"Dia 39",4899
"Dia 40",5306
"Dia 41",5552
"Dia 42",6172
"Dia 43",6282
"Dia 44",6828
"Dia 45",7111
"Dia 46",7944
"Dia 47",8504
"Dia 48",8869
"Dia 49",9453
"Dia 50",10166
"Dia 51",10546
"Dia 52",11139
"Dia 53",11721
"Dia 54",12391
"Dia 55",13295
"Dia 56",14156
"Dia 57",15741
"Dia 58",16929
"Dia 59",17062
"Dia 60",17939
"Dia 61",18486
"Dia 62",18728
"Dia 63",19467
"Dia 64",19987
"Dia 65",21601
"Dia 66",22238
"Dia 67",26665
"Dia 68",27805
"Dia 69",30372
"Dia 70",32089
"Dia 71",33589
"Dia 72",34533
"Dia 73",37912
"Dia 74",39298
"Dia 75",40024
"Dia 76",42398
"Dia 77",44886
"Dia 78",47953
"Dia 79",52420
"Dia 80",53388
"Dia 81",54530
"Dia 82",56732
"Dia 83",59240
"Dia 84",60932
"Dia 85",63066
"Dia 86",64533
"Dia 87",67756
"Dia 88",69499
"Dia 89",72979
"Dia 90",74373
"Dia 91",75775
"Dia 92",77784
"Dia 93",78836
"Dia 94",79572
"Dia 95",80946
"Dia 96",83343
"Dia 97",86963
"Dia 98",87317
"Dia 99",93378
"Dia 100",95537
"Dia 101",96133
"Dia 102",97572
"Dia 103",100869
"Dia 104",103493
"Dia 105",105897
"Dia 106",108497
"Dia 107",108803
"Dia 108",111298
"Dia 109",111883
"Dia 110",112611
"Dia 111",115278
"Dia 112",116823
"Dia 113",118956
"Dia 114",120428
"Dia 115",121292
"Dia 116",121879
"Dia 117",124086
"Dia 118",126329
"Dia 119",128324
"Dia 120",129443
"Dia 121",129675
"Dia 122",129684
"Dia 123",132044
"Dia 124",132822
"Dia 125",134449
"Dia 126",134573
"Dia 127",135230
"Dia 128",138524
"Dia 129",141005
"Dia 130",145121
"Dia 131",148623
"Dia 132",151549
"Dia 133",154879
"Dia 134",156293
"Dia 135",156325
"Dia 136",157834
"Dia 137",159639
"Dia 138",161647
"Dia 139",163642
"Dia 140",165495
"Dia 141",167213
"Dia 142",167225
"Dia 143",168064
"Dia 144",168911
"Dia 145",172679
"Dia 146",174064
"Dia 147",175696
"Dia 148",178524
"Dia 149",178850
"Dia 150",180016
"Dia 151",182563
"Dia 152",185610
"Dia 153",188085
"Dia 154",189891
"Dia 155",190614
"Dia 156",194279
"Dia 157",194651
"Dia 158",199480
"Dia 159",202993
"Dia 160",205916
"Dia 161",207036
"Dia 162",210464
"Dia 163",210948
"Dia 164",211360
"Dia 165",214003
"Dia 166",216675
"Dia 167",219198
"Dia 168",222957
"Dia 169",223302
